Tempo em min:sec,Temperatura desejada do tanque,Temperatura atual do tanque,Nivel desejado do tanque,Nivel atual do Tanque
00:06.04,30.000000,20.527269,1.500000,1.955033
00:06.05,30.000000,20.527269,1.500000,1.955033
00:06.06,30.000000,20.527269,1.500000,1.955033
00:06.07,30.000000,20.535960,1.500000,1.954464
00:06.08,30.000000,20.535960,1.500000,1.954464
00:06.09,30.000000,20.535960,1.500000,1.954464
00:06.10,30.000000,20.535960,1.500000,1.954464
00:06.11,30.000000,20.535960,1.500000,1.954464
00:06.12,30.000000,20.535960,1.500000,1.954464
00:06.13,30.000000,20.535960,1.500000,1.954464
00:06.14,30.000000,20.535960,1.500000,1.954464
00:06.15,30.000000,20.535960,1.500000,1.954464
00:06.16,30.000000,20.535960,1.500000,1.954464
00:06.17,30.000000,20.544645,1.500000,1.953896
00:06.18,30.000000,20.544645,1.500000,1.953896
00:06.19,30.000000,20.544645,1.500000,1.953896
00:06.20,30.000000,20.544645,1.500000,1.953896
00:06.21,30.000000,20.544645,1.500000,1.953896
00:06.22,30.000000,20.544645,1.500000,1.953896
00:06.23,30.000000,20.544645,1.500000,1.953896
00:06.24,30.000000,20.544645,1.500000,1.953896
00:06.25,30.000000,20.544645,1.500000,1.953896
00:06.26,30.000000,20.544645,1.500000,1.953896
00:06.27,30.000000,20.553325,1.500000,1.953328
00:06.28,30.000000,20.553325,1.500000,1.953328
00:06.29,30.000000,20.553325,1.500000,1.953328
00:06.30,30.000000,20.553325,1.500000,1.953328
00:06.31,30.000000,20.553325,1.500000,1.953328
00:06.32,30.000000,20.553325,1.500000,1.953328
00:06.33,30.000000,20.553325,1.500000,1.953328
00:06.34,30.000000,20.553325,1.500000,1.953328
00:06.35,30.000000,20.553325,1.500000,1.953328
00:06.36,30.000000,20.553325,1.500000,1.953328
00:06.37,30.000000,20.561999,1.500000,1.952761
00:06.38,30.000000,20.561999,1.500000,1.952761
00:06.39,30.000000,20.561999,1.500000,1.952761
00:06.40,30.000000,20.561999,1.500000,1.952761
00:06.41,30.000000,20.561999,1.500000,1.952761
00:06.42,30.000000,20.561999,1.500000,1.952761
00:06.43,30.000000,20.561999,1.500000,1.952761
00:06.44,30.000000,20.561999,1.500000,1.952761
00:06.45,30.000000,20.561999,1.500000,1.952761
00:06.46,30.000000,20.570668,1.500000,1.952195
00:06.47,30.000000,20.570668,1.500000,1.952195
00:06.48,30.000000,20.570668,1.500000,1.952195
00:06.49,30.000000,20.570668,1.500000,1.952195
00:06.50,30.000000,20.570668,1.500000,1.952195
00:06.51,30.000000,20.570668,1.500000,1.952195
00:06.52,30.000000,20.570668,1.500000,1.952195
00:06.53,30.000000,20.570668,1.500000,1.952195
00:06.54,30.000000,20.570668,1.500000,1.952195
00:06.55,30.000000,20.570668,1.500000,1.952195
00:06.56,30.000000,20.570668,1.500000,1.952195
00:06.57,30.000000,20.579331,1.500000,1.951629
00:06.58,30.000000,20.579331,1.500000,1.951629
00:06.59,30.000000,20.579331,1.500000,1.951629
00:06.60,30.000000,20.579331,1.500000,1.951629
00:06.61,30.000000,20.579331,1.500000,1.951629
00:06.62,30.000000,20.579331,1.500000,1.951629
00:06.63,30.000000,20.579331,1.500000,1.951629
00:06.64,30.000000,20.579331,1.500000,1.951629
00:06.65,30.000000,20.579331,1.500000,1.951629
00:06.66,30.000000,20.579331,1.500000,1.951629
00:06.67,30.000000,20.587989,1.500000,1.951064
00:06.68,30.000000,20.587989,1.500000,1.951064
00:06.69,30.000000,20.587989,1.500000,1.951064
00:06.70,30.000000,20.587989,1.500000,1.951064
00:06.71,30.000000,20.587989,1.500000,1.951064
00:06.72,30.000000,20.587989,1.500000,1.951064
00:06.73,30.000000,20.587989,1.500000,1.951064
00:06.74,30.000000,20.587989,1.500000,1.951064
00:06.75,30.000000,20.587989,1.500000,1.951064
00:06.76,30.000000,20.587989,1.500000,1.951064
00:06.77,30.000000,20.596642,1.500000,1.950500
00:06.78,30.000000,20.596642,1.500000,1.950500
00:06.79,30.000000,20.596642,1.500000,1.950500
00:06.80,30.000000,20.596642,1.500000,1.950500
